Equipment number;CNB0100003974;;;Life(%);94
Time;Eq. NO2 (oxidant gases) Level (µg/m3);Bat.(mV) ;Temp. °C;Humidity %;
19/06/2018 17:56:00;24.882;4160;29;41;
19/06/2018 17:57:00;24.882;4160;29;41;
19/06/2018 17:58:00;28.71;4160;29;41;
19/06/2018 17:59:00;44.022;4160;29;42;
19/06/2018 18:00:00;34.452;4160;29;42;
19/06/2018 18:01:00;36.366;4160;29;43;
19/06/2018 18:02:00;9.57;4160;29;42;
19/06/2018 18:03:00;7.656;4160;29;42;
19/06/2018 18:04:00;49.764;4160;28;42;
19/06/2018 18:05:00;51.678;4160;27;44;
19/06/2018 18:06:00;32.538;4160;27;45;
19/06/2018 18:07:00;88.044;4160;27;46;
19/06/2018 18:08:00;55.506;4160;27;46;
19/06/2018 18:09:00;3.828;4160;28;45;
19/06/2018 18:10:00;3.828;4160;28;43;
19/06/2018 18:11:00;9.57;4160;28;42;
19/06/2018 18:12:00;21.054;4160;28;42;
19/06/2018 18:13:00;112.926;4140;27;42;
19/06/2018 18:14:00;101.442;4140;27;46;
19/06/2018 18:15:00;70.818;4140;27;48;
19/06/2018 18:16:00;49.764;4140;27;49;
19/06/2018 18:17:00;0;4140;27;47;
19/06/2018 18:18:00;36.366;4140;26;46;
19/06/2018 18:19:00;30.624;4140;26;47;
19/06/2018 18:20:00;7.656;4140;26;47;
19/06/2018 18:21:00;42.108;4140;26;47;
19/06/2018 18:22:00;17.226;4140;27;47;
19/06/2018 18:23:00;13.398;4140;27;46;
19/06/2018 18:24:00;53.592;4140;27;46;
19/06/2018 18:25:00;11.484;4140;27;47;
19/06/2018 18:26:00;1.914;4140;27;46;
19/06/2018 18:27:00;9.57;4140;27;46;
19/06/2018 18:28:00;13.398;4140;27;46;
19/06/2018 18:29:00;3.828;4140;27;46;
19/06/2018 18:30:00;17.226;4140;27;46;
19/06/2018 18:31:00;3.828;4140;27;46;
19/06/2018 18:32:00;3.828;4140;27;46;
19/06/2018 18:33:00;13.398;4140;27;46;
19/06/2018 18:34:00;5.742;4140;27;46;
19/06/2018 18:35:00;11.484;4140;27;46;
19/06/2018 18:36:00;11.484;4140;27;46;
19/06/2018 18:37:00;5.742;4140;27;46;
19/06/2018 18:38:00;5.742;4140;27;46;
19/06/2018 18:39:00;5.742;4140;27;46;
