id, timestamp, node_id, node_name, gps_lat, gps_lng, gps_alt, temperatre, humidity, pressure, pm2.5, pm10, pm1.0, formaldehyde, no2,bc
1601,2018-03-06 22:32:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.4, 28.4,972.9,,,,,,
1608,2018-03-06 22:34:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.2,973,,,,,,
1615,2018-03-06 22:36:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.3,973,,,,,,
1624,2018-03-06 22:38:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.3,972.9,,,,,,
1632,2018-03-06 22:40:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.2,973,,,,,,
1641,2018-03-06 22:42:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.2,973,,,,,,
1646,2018-03-06 22:44:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.2, 28.2,973,,,,,,
1653,2018-03-06 22:47:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.2,973,,,,,,
1659,2018-03-06 22:49:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.2,973,,,,,,
1667,2018-03-06 22:51:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.1,973,,,,,,
1675,2018-03-06 22:53:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.1,973,,,,,,
1685,2018-03-06 22:55:00+01, 35669077133271345, AirParif6, 48.7089233398, 2.14869856834, -26, 23.3, 28.1,972.9,,,,,,
